building_code,open_schools,num_open_schools,top_school_enrolled,total_enrolled,primary_address,city,longitude,latitude,campus_name,room,sbhc_sponsor,schools_served,num_school_served,services_provided
M060,East Side Community School|Girls Preparatory Charter School of New York,2,East Side Community School,1017,420 East 12 Street,Manhattan,-73.982472,40.729152,NA,NA,NA,NA,NA,School-based Mental Health Clinic
R058,Space Shuttle Columbia School,1,Space Shuttle Columbia School,699,77 MARSH AVENUE,STATEN ISLAND,-74.160867,40.582791,NA,NA,NA,NA,NA,NA
Q100,P.S. 100 Glen Morris,1,P.S. 100 Glen Morris,696,111-11 118 Street,Queens,-73.821545,40.679694,NA,NA,NA,NA,NA,NA
X105,P.S. 105 Sen Abraham Bernstein,1,P.S. 105 Sen Abraham Bernstein,695,725 Brady Avenue,Bronx,-73.866264,40.853075,PS 105 Sen Abraham Bernstein,120,Montefiore Medical Center,P.S. 105 Sen Abraham Bernstein,1,School-based Health Center w/ Mental Health
K216,P.S. 216 Arturo Toscanini,1,P.S. 216 Arturo Toscanini,689,350 AVENUE X,BROOKLYN,-73.969647,40.59,NA,NA,NA,NA,NA,NA
M099,Innovation Charter High School|M.S. 224 Manhattan East School for Arts & Academics|Success Academy Charter School - Harlem 3,3,Success Academy Charter School - Harlem 3,1278,410 EAST 100 STREET,MANHATTAN,-73.9425,40.7856,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K650,Brooklyn Preparatory High School|Williamsburg High School for Architecture and Design|Williamsburg Preparatory School,3,Williamsburg Preparatory School,1835,257 NORTH 6 STREET,BROOKLYN,-73.954815,40.715561,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X136,P186X Walter J. Damrosch School,1,P186X Walter J. Damrosch School,684,750 Jennings Street,Bronx,-73.897797,40.831388,NA,NA,NA,NA,NA,NA
Q148,P.S. 148 Queens,1,P.S. 148 Queens,681,89-02 32 AVENUE,QUEENS,-73.878638,40.757629,NA,NA,NA,NA,NA,NA
Q152,P.S. 152 Gwendoline N. Alleyne School,1,P.S. 152 Gwendoline N. Alleyne School,681,33-52 62 STREET,QUEENS,-73.900584,40.753094,NA,NA,NA,NA,NA,NA
M833,High School of Economics and Finance,1,High School of Economics and Finance,680,100 TRINITY PLACE,MANHATTAN,-74.012328,40.70927,NA,NA,NA,NA,NA,School Mental Health Specialist Program
XAWW,Nuasin Next Generation Charter School,1,Nuasin Next Generation Charter School,680,180 West 165th street,BRONX,-73.929797,40.834599,NA,NA,NA,NA,NA,NA
K222,P.S. 222 Katherine R. Snyder,1,P.S. 222 Katherine R. Snyder,679,3301 QUENTIN ROAD,BROOKLYN,-73.939205,40.614005,NA,NA,NA,NA,NA,NA
Q188,P.S. 188 Kingsbury,1,P.S. 188 Kingsbury,677,218-12 HARTLAND AVENUE,QUEENS,-73.753985,40.736063,NA,NA,NA,NA,NA,NA
Q043,P.S. 043,1,P.S. 043,676,160 BEACH 29 STREET,QUEENS,-73.761086,40.59348,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X081,P.S. 081 Robert J. Christen,1,P.S. 081 Robert J. Christen,675,5550 RIVERDALE AVENUE,BRONX,-73.904657,40.903275,NA,NA,NA,NA,NA,NA
K179,P.S. 179 Kensington,1,P.S. 179 Kensington,674,202 AVENUE C,BROOKLYN,-73.97726,40.640127,NA,NA,NA,NA,NA,NA
X008,P.S. 008 Isaac Varian,1,P.S. 008 Isaac Varian,673,3010 BRIGGS AVENUE,BRONX,-73.883339,40.872259,PS 008 Isaac Varian,1390,Montefiore Medical Center,P.S. 008 Isaac Varian,1,School-based Health Center w/ Mental Health
Q695,Queens Gateway to Health Sciences Secondary School,1,Queens Gateway to Health Sciences Secondary School,673,160-20 GOETHALS AVENUE,QUEENS,-73.805923,40.718027,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q885,Renaissance Charter School,1,Renaissance Charter School,673,35-59 81 Street,Queens,-73.884817,40.749934,NA,NA,NA,NA,NA,NA
X655,"H.E.R.O. High (Health, Education, and Research Occupations High School)|Mott Haven Community High School",2,"H.E.R.O. High (Health, Education, and Research Occupations High School)",912,455 SOUTHERN BLVD,BRONX,-73.907528,40.810671,NA,NA,NA,NA,NA,NA
K142,"Brooklyn Collaborative Studies|The Brooklyn New School, P.S. 146",2,Brooklyn Collaborative Studies,1326,610 HENRY STREET,BROOKLYN,-74.0014,40.6801,NA,NA,NA,NA,NA,School-based Health Center w/ Mental Health
Q088,P.S. 088 Seneca,1,P.S. 088 Seneca,671,60-85 CATALPA AVENUE,QUEENS,-73.896437,40.704105,NA,NA,NA,NA,NA,NA
Q009,P.S. 009,1,P.S. 009,671,58-74 57 STREET,QUEENS,-73.912458,40.718234,NA,NA,NA,NA,NA,NA
M087,P.S. 087 William Sherman,1,P.S. 087 William Sherman,670,160 WEST 78 STREET,MANHATTAN,-73.97802,40.78171,NA,NA,NA,NA,NA,NA
Q465,"Academy of Medical Technology: A College Board School|Frederick Douglass Academy VI High School|Knowledge and Power Preparatory Academy VI|Queens High School for Information, Research, and Technology",4,Academy of Medical Technology: A College Board School,1695,8-21 BAY 25 STREET,QUEENS,-73.763995,40.601537,Far Rockaway Campus,106,Northwell LIJ,"[D79] Lyfe|[D79] Pathways To Graduation|Academy Of Medical Technology: A College Board School|Frederick Douglass Academy Vi High School|Knowledge And Power Preparatory Academy VI|Queens High School For Information, Research, And Technology",6,School-based Health Center w/ Mental Health
X240,Comprehensive Model School Project M.S. 327|Mount Eden Children's Academy,2,Comprehensive Model School Project M.S. 327,1083,1501 JEROME AVENUE,BRONX,-73.916084,40.842503,New Settlement Campus,306,Montefiore Medical Center,Comprehensive Model School Project M.S. 327|Mount Eden Children's Academy|P010X@ P240,3,School-based Health Center w/ Mental Health
X076,P.S. 076 The Bennington School,1,P.S. 076 The Bennington School,667,900 ADEE AVENUE,BRONX,-73.860928,40.869059,NA,NA,NA,NA,NA,NA
Q777,The Riverview School,1,The Riverview School,666,50-15 44th Street,Queens,-73.921346,40.73668,NA,NA,NA,NA,NA,NA
M824,Millennium High School,1,Millennium High School,665,75 BROAD STREET,MANHATTAN,-74.011202,40.704697,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q010,I.S. 010 Horace Greeley,1,I.S. 010 Horace Greeley,665,45-11 31st Ave,Queens,-73.911962,40.760122,NA,NA,NA,NA,NA,Prevention Intervention Program MH
X423,Mott Hall V|The Cinema School,2,Mott Hall V,1020,1551 East 172 Street,Bronx,-73.878191,40.832508,James Monroe Educational Campus Annex,B20,Urban Health Plan,Mott Hall V|The Cinema School,2,"Prevention Intervention Program MH, School-based Health Center w/ Mental Health"
R032,P.S. 032 The Gifford School,1,P.S. 032 The Gifford School,661,232 Barlow Avenue,Staten Island,-74.1554,40.5579,NA,NA,NA,NA,NA,NA
Q175,P.S. 175 The Lynn Gross Discovery School,1,P.S. 175 The Lynn Gross Discovery School,660,64-35 102 STREET,QUEENS,-73.85221,40.731016,NA,NA,NA,NA,NA,NA
R030,P.S. 030 Westerleigh,1,P.S. 030 Westerleigh,660,200 Wardwell Avenue,Staten Island,-74.13308,40.618097,NA,NA,NA,NA,NA,NA
K254,P.S. 254 Dag Hammarskjold,1,P.S. 254 Dag Hammarskjold,659,2469 East 18 Street,Brooklyn,-73.95155,40.591103,NA,NA,NA,NA,NA,NA
Q115,The James J. Ambrose School,1,The James J. Ambrose School,659,80-51 261 STREET,QUEENS,-73.709404,40.744201,NA,NA,NA,NA,NA,NA
Q105,P.S. 105 The Bay School,1,P.S. 105 The Bay School,657,420 BEACH 51 STREET,QUEENS,-73.780961,40.595911,NA,NA,NA,NA,NA,Prevention Intervention Program MH
Q470,High School for Community Leadership|Hillside Arts & Letters Academy|Jamaica Gateway to the Sciences|Queens Collegiate: A College Board School,4,Queens Collegiate: A College Board School,2034,167-01 GOTHIC DRIVE,JAMAICA,-73.798658,40.714551,NA,NA,NA,NA,NA,"Prevention Intervention Program MH, School-based Mental Health Clinic"
R003,P.S. 003 The Margaret Gioiosa School,1,P.S. 003 The Margaret Gioiosa School,657,80 SOUTH GOFF AVENUE,STATEN ISLAND,-74.21185,40.520812,NA,NA,NA,NA,NA,NA
R041,The Stephanie A. Vierno School,1,The Stephanie A. Vierno School,657,216 CLAWSON STREET,STATEN ISLAND,-74.108492,40.573599,NA,NA,NA,NA,NA,NA
X152,P.S. 152 Evergreen,1,P.S. 152 Evergreen,656,1007 EVERGREEN AVENUE,BRONX,-73.880479,40.823941,NA,NA,NA,NA,NA,NA
Q131,P.S. 131 Abigail Adams,1,P.S. 131 Abigail Adams,656,170-21 84 Avenue,Queens,-73.794061,40.71715,NA,NA,NA,NA,NA,NA
Q270,The Gordon Parks School,1,The Gordon Parks School,655,233-15 MERRICK BOULEVARD,QUEENS,-73.736232,40.67507,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K599,East New York Family Academy,1,East New York Family Academy,654,760 Van Siclen Avenue,Brooklyn,-73.886596,40.66099,NA,NA,NA,NA,NA,NA
X101,M.S. X101 Edward R. Byrne|P.S. 304 Early Childhood School|P.S. X010,3,P.S. X010,1697,2750 LAFAYETTE AVENUE,BRONX,-73.829211,40.82708,NA,NA,NA,NA,NA,School Response Team
Q268,P.S./I.S. 268,1,P.S./I.S. 268,647,92-07 175 STREET,QUEENS,-73.78521,40.707648,NA,NA,NA,NA,NA,School Mental Health Specialist Program
X085,P.S. 085 Great Expectations,1,P.S. 085 Great Expectations,646,2400 MARION AVENUE,BRONX,-73.894682,40.858689,PS 085 Great Expectations,105,Montefiore Medical Center,P.S. 085 Great Expectations,1,Community School MH
Q207,P.S. 207 Rockwood Park,1,P.S. 207 Rockwood Park,643,159-15 88 STREET,QUEENS,-73.843881,40.657736,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M158,P.S. 158 Bayard Taylor|Yorkville East Middle School,2,P.S. 158 Bayard Taylor,899,1458 YORK AVENUE,MANHATTAN,-73.950745,40.770215,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q277,P.S. 182 Samantha Smith,1,P.S. 182 Samantha Smith,642,153-27 88th Avenue,Queens,-73.803183,40.70675,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K275,Brooklyn Democracy Academy|Kappa V (Knowledge and Power Preparatory Academy)|Leadership Preparatory Brownsville Charter School|Metropolitan Diploma Plus High School,4,Leadership Preparatory Brownsville Charter School,1109,985 ROCKAWAY AVENUE,BROOKLYN,-73.9074,40.6566,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q165,P.S. 165 Edith K. Bergtraum,1,P.S. 165 Edith K. Bergtraum,641,70-35 150 Street,Queens,-73.816966,40.729746,NA,NA,NA,NA,NA,NA
Q192,I.S. 192 The Linden|Pathways College Preparatory School: A College Board School,2,Pathways College Preparatory School: A College Board School,976,109-89 204 STREET,QUEENS,-73.752885,40.705989,NA,NA,NA,NA,NA,"Prevention Intervention Program MH, School-based Mental Health Clinic"
R056,P.S. 56 The Louis Desario School,1,P.S. 56 The Louis Desario School,641,250 KRAMER AVENUE,STATEN ISLAND,-74.213943,40.541856,NA,NA,NA,NA,NA,NA
X046,P.S. 046 Edgar Allan Poe,1,P.S. 046 Edgar Allan Poe,640,2760 BRIGGS AVENUE,BRONX,-73.890402,40.867169,NA,NA,NA,NA,NA,NA
Q053,M.S. 053 Brian Piccolo|Success Academy Charter School - Far Rockaway|Village Academy,3,Success Academy Charter School - Far Rockaway,1148,10-45 NAMEOKE STREET,QUEENS,-73.749891,40.604019,Brian Piccolo Campus,113,Northwell LIJ,M.S. 053 Brian Piccolo|Success Academy Charter School - Far Rockaway|Village Academy,3,"Community School MH, School-based Health Center w/ Mental Health"
X149,South Bronx Preparatory: A College Board School|The Laboratory School of Finance and Technology: X223,2,South Bronx Preparatory: A College Board School,1267,360 EAST 145 STREET,BRONX,-73.9208,40.814,NA,NA,NA,NA,NA,"School Mental Health Specialist Program, School Response Team"
R040,P.S. R373,1,P.S. R373,635,91 HENDERSON AVENUE,STATEN ISLAND,-74.095454,40.64118,NA,NA,NA,NA,NA,NA
XAFJ,Amber Charter School Kingsbridge,1,Amber Charter School Kingsbridge,635,3120 Corlear Avenue,BRONX,-73.907295,40.880738,NA,NA,NA,NA,NA,NA
X435,Belmont Preparatory High School|Bronx High School for Law and Community Service|Fordham High School for the Arts|Fordham Leadership Academy|Knowledge and Power Preparatory Academy International High School (Kappa)|West Bronx Academy for the Future,6,West Bronx Academy for the Future,2594,500 EAST FORDHAM ROAD,BRONX,-73.888625,40.859466,Theodore Roosevelt Campus,BW4,Montefiore Medical Center,[D79] Lyfe|Belmont Preparatory High School|Bronx High School For Law And Community Service|Fordham High School For The Arts|Fordham Leadership Academy|Knowledge And Power Preparatory Academy International High School (Kappa)|West Bronx Academy For The Future,7,"Community School MH, School-based Health Center w/ Mental Health"
X019,P.S. 019 Judith K. Weiss,1,P.S. 019 Judith K. Weiss,633,311 East 237 Street,Bronx,-73.866949,40.899351,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q849,Bushwick Leaders High School for Academic Excellence|Joseph F. Quinn Intermediate School 77,2,Joseph F. Quinn Intermediate School 77,997,976 Seneca Avenue,Queens,-73.902147,40.699101,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q247,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",1,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",633,69-10 65th Drive,QUEENS,-73.885974,40.715005,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q086,P.S. Q086,1,P.S. Q086,633,87-41 PARSONS BOULEVARD,QUEENS,-73.803001,40.709461,NA,NA,NA,NA,NA,NA
X181,I.S. 181 Pablo Casals,1,I.S. 181 Pablo Casals,632,800 BAYCHESTER AVENUE,BRONX,-73.831669,40.874035,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K917,Brooklyn College Academy,1,Brooklyn College Academy,632,350 CONEY ISLAND AVENUE,BROOKLYN,-73.972312,40.649055,NA,NA,NA,NA,NA,School Mental Health Specialist Program
R060,P.S. 060 Alice Austen,1,P.S. 060 Alice Austen,629,55 Merrill Avenue,Staten Island,-74.162634,40.610604,NA,NA,NA,NA,NA,NA
X053,P.S. 053 Basheer Quisim,1,P.S. 053 Basheer Quisim,628,360 EAST 168 STREET,BRONX,-73.911906,40.832648,NA,NA,NA,NA,NA,NA
K007,P.S. 007 Abraham Lincoln,1,P.S. 007 Abraham Lincoln,628,858 JAMAICA AVENUE,BROOKLYN,-73.872983,40.689213,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K314,P.S. 503: The School of Discovery|P.S. 506: The School of Journalism & Technology,2,P.S. 503: The School of Discovery,1076,330 59 Street,Brooklyn,-74.019,40.6422,503/506 Campus,123,NYU Langone FHC,P.S. 503: The School Of Discovery|P.S. 506: The School Of Journalism & Technology,2,School-based Health Center w/ Mental Health
KBZT,Hebrew Language Academy Charter School,1,Hebrew Language Academy Charter School,627,2186 MILL AVENUE,BROOKLYN,-73.914312,40.612258,NA,NA,NA,NA,NA,NA
X143,"The Marie Curie High School for Medicine, Nursing, and Health Professions|The New School for Leadership and Journalism",2,The New School for Leadership and Journalism,905,120 WEST 231 STREET,BRONX,-73.9011,40.8759,Marie Curie High School,332,Morris Heights Health Center,"The Marie Curie School For Medicine, Nursing, And Health Professions|The New School For Leadership And Journalism",2,School-based Health Center w/ Mental Health
X118,J.H.S. 118 William W. Niles,1,J.H.S. 118 William W. Niles,622,577 EAST 179 STREET,BRONX,-73.892482,40.848702,NA,NA,NA,NA,NA,School-based Mental Health Clinic
MBTS,Neighborhood Charter School of Harlem,1,Neighborhood Charter School of Harlem,622,691 St Nicholas Avenue,MANHATTAN,-73.945427,40.823676,NA,NA,NA,NA,NA,NA
X160,P.S. 160 Walt Disney|The Equality Charter School,2,The Equality Charter School,953,4140 Hutchinson River Parkway East,Bronx,-73.823816,40.864073,NA,NA,NA,NA,NA,NA
K020,P.S. 020 Clinton Hill,1,P.S. 020 Clinton Hill,621,225 ADELPHI STREET,BROOKLYN,-73.970896,40.690742,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K100,P.S. 100 The Coney Island School,1,P.S. 100 The Coney Island School,621,2951 WEST 3 STREET,BROOKLYN,-73.97083,40.577591,NA,NA,NA,NA,NA,NA
K312,P.S. 312 Bergen Beach,1,P.S. 312 Bergen Beach,621,7103 Avenue T,Brooklyn,-73.909554,40.622442,NA,NA,NA,NA,NA,NA
MAHR,School in the Square Public Charter School,1,School in the Square Public Charter School,621,120 WADSWORTH AVENUE,MANHATTAN,-73.936073,40.848864,NA,NA,NA,NA,NA,NA
X014,P.S. X014 Senator John Calandra,1,P.S. X014 Senator John Calandra,619,3047 BRUCKNER BOULEVARD,BRONX,-73.826277,40.835318,NA,NA,NA,NA,NA,NA
Q176,P.S. 176 Cambria Heights,1,P.S. 176 Cambria Heights,618,120-45 235 Street,Queens,-73.729226,40.684987,NA,NA,NA,NA,NA,NA
Q189,Flushing International High School|J.H.S. 189 Daniel Carter Beard,2,J.H.S. 189 Daniel Carter Beard,1034,144-80 BARCLAY AVENUE,QUEENS,-73.818399,40.759963,NA,NA,NA,NA,NA,NA
Q891,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",1,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",616,47-07 30th Place,Queens,-73.936442,40.742217,NA,NA,NA,NA,NA,NA
K159,P.S. 159 Isaac Pitkin,1,P.S. 159 Isaac Pitkin,615,2781 PITKIN AVENUE,BROOKLYN,-73.869705,40.676111,NA,NA,NA,NA,NA,NA
Q042,P.S./M.S 042 R. Vernam,1,P.S./M.S 042 R. Vernam,615,488 Beach 66 Street,Queens,-73.794804,40.594358,NA,NA,NA,NA,NA,Community School MH
X392,Bronx Studio School for Writers and Artists,1,Bronx Studio School for Writers and Artists,614,928 Simpson Street,Bronx,-73.892961,40.820388,NA,NA,NA,NA,NA,Community School MH
K069,P.S. 69 Vincent D. Grippo School,1,P.S. 69 Vincent D. Grippo School,614,6302 9TH AVENUE,BROOKLYN,-74.009752,40.632392,NA,NA,NA,NA,NA,NA
K620,William E. Grady Career and Technical Education High School,1,William E. Grady Career and Technical Education High School,614,25 Brighton 4th Road,Brooklyn,-73.963764,40.583263,NA,NA,NA,NA,NA,NA
Q090,P.S. 090 Horace Mann,1,P.S. 090 Horace Mann,613,86-50 109 STREET,QUEENS,-73.839517,40.696653,NA,NA,NA,NA,NA,NA
M661,Manhattan Comprehensive Night and Day High School,1,Manhattan Comprehensive Night and Day High School,612,240 2 AVENUE,MANHATTAN,-73.984333,40.732699,NA,NA,NA,NA,NA,NA
M814,Community Health Academy of the Heights,1,Community Health Academy of the Heights,612,504 West 158 Street,Manhattan,-73.942074,40.833695,Community Health Academy of the Heights,507,Community Healthcare Network,Community Health Academy Of The Heights,1,School-based Health Center w/ Mental Health
K465,"Academy for College Preparation and Career Exploration: A College Board School|Academy of Hospitality and Tourism|High School for Service & Learning at Erasmus|High School for Youth and Community Development at Erasmus|Science, Technology and Research Early College High School at Erasmus",5,"Science, Technology and Research Early College High School at Erasmus",2061,911 FLATBUSH AVENUE,BROOKLYN,-73.957173,40.649602,Erasmus Campus,BS-14,NYU Langone FHC,"[D79] Erasmus Yabc|Academy For College Preparation And Career Exploration: A College Board School|Academy Of Hospitality And Tourism|High School For Service & Learning At Erasmus|High School For Youth And Community Development|Science, Technology And Research Early College High School At Erasmus",6,School-based Health Center w/ Mental Health
Q212,P.S. 212,1,P.S. 212,612,34-25 82 STREET,QUEENS,-73.884458,40.753035,NA,NA,NA,NA,NA,NA
X973,East Bronx Academy for the Future,1,East Bronx Academy for the Future,611,1716 SOUTHERN BOULEVARD,BRONX,-73.887688,40.836821,NA,NA,NA,NA,NA,Community School MH
Q138,P.S./M.S. 138 Sunrise,1,P.S./M.S. 138 Sunrise,611,251-11 WELLER AVENUE,QUEENS,-73.734342,40.659876,NA,NA,NA,NA,NA,School Response Team
Q208,P.S./I.S. 208,1,P.S./I.S. 208,611,74-30 COMMONWEALTH BLVD,QUEENS,-73.727632,40.744276,NA,NA,NA,NA,NA,School Mental Health Specialist Program
KAKO,Brooklyn Dreams Charter School,1,Brooklyn Dreams Charter School,611,259 PARKVILLE AVENUE,BROOKLYN,-73.969887,40.632149,NA,NA,NA,NA,NA,NA
X005,P.S. 5 Port Morris,1,P.S. 5 Port Morris,609,564 JACKSON AVENUE,BRONX,-73.908358,40.813896,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K317,P.S. 133 William A. Butler,1,P.S. 133 William A. Butler,609,610 Baltic Street,Brooklyn,-73.980455,40.679916,NA,NA,NA,NA,NA,NA
X131,J.H.S. 131 Albert Einstein|Soundview Academy for Culture and Scholarship|Success Academy Charter School - Bronx 4,3,Success Academy Charter School - Bronx 4,1260,885 Bolton Avenue,Bronx,-73.859998,40.822925,NA,NA,NA,NA,NA,"Community School MH, School-based Mental Health Clinic"
K261,P.S. 261 Zipporiah Mills,1,P.S. 261 Zipporiah Mills,608,314 PACIFIC STREET,BROOKLYN,-73.988667,40.687218,NA,NA,NA,NA,NA,NA
X072,P.S. 072 Dr. William Dorney,1,P.S. 072 Dr. William Dorney,607,2951 DEWEY AVENUE,BRONX,-73.818172,40.823237,NA,NA,NA,NA,NA,NA
K084,P.S. 084 Jose De Diego,1,P.S. 084 Jose De Diego,607,250 Berry Street,Brooklyn,-73.963808,40.715089,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M130,P.S. 130 Hernando De Soto,1,P.S. 130 Hernando De Soto,606,143 BAXTER STREET,MANHATTAN,-73.998326,40.71866,NA,NA,NA,NA,NA,NA
X078,P.S. 078 Anne Hutchinson,1,P.S. 078 Anne Hutchinson,606,1400 NEEDHAM AVENUE,BRONX,-73.850563,40.878474,NA,NA,NA,NA,NA,NA
K807,P.S. 163 Bath Beach,1,P.S. 163 Bath Beach,606,109 BAY 14TH STREET,BROOKLYN,-74.007469,40.606739,NA,NA,NA,NA,NA,School Mental Health Specialist Program
KAQX,Brooklyn Excelsior Charter School,1,Brooklyn Excelsior Charter School,606,856 QUINCY STREET,BROOKLYN,-73.925087,40.689569,NA,NA,NA,NA,NA,NA
Q008,J.H.S. 008 Richard S. Grossley|The Emerson School|York Early College Academy,3,York Early College Academy,1230,108-35 167 STREET,QUEENS,-73.786403,40.69691,NA,NA,NA,NA,NA,"Community School MH, School-based Mental Health Clinic"
M641,High School M560 - City As School|P.S. M721 - Manhattan Occupational Training Center,2,High School M560 - City As School,798,16 Clarkson Street,Manhattan,-74.006155,40.729052,NA,NA,NA,NA,NA,NA
R052,P.S. 052 John C. Thompson,1,P.S. 052 John C. Thompson,604,450 BUEL AVENUE,STATEN ISLAND,-74.089012,40.58255,NA,NA,NA,NA,NA,NA
Q160,P.S. 160 Walter Francis Bishop,1,P.S. 160 Walter Francis Bishop,603,109-59 INWOOD STREET,QUEENS,-73.799685,40.688373,NA,NA,NA,NA,NA,School-based Mental Health Clinic
M197,Democracy Preparatory Charter School|P.S. 197 John B. Russwurm,2,Democracy Preparatory Charter School,805,2230 5 AVENUE,MANHATTAN,-73.938347,40.813532,[Closed] PS 197 Russwurm Campus,NA,H+H Gotham,NA,NA,NA
X056,P.S. 056 Norwood Heights,1,P.S. 056 Norwood Heights,601,341 EAST 207 STREET,BRONX,-73.874912,40.875481,NA,NA,NA,NA,NA,NA
X041,P.S. 041 Gun Hill Road,1,P.S. 041 Gun Hill Road,601,3352 OLINVILLE AVENUE,BRONX,-73.867834,40.874754,NA,NA,NA,NA,NA,School-based Mental Health Clinic
X498,Icahn Charter School 2|P.S./M.S. 11X498 - Van Nest Academy,2,P.S./M.S. 11X498 - Van Nest Academy,932,1640 BRONXDALE AVE,BRONX,-73.857989,40.845023,NA,NA,NA,NA,NA,School Mental Health Specialist Program
Q219,P.S. 219 Paul Klapper,1,P.S. 219 Paul Klapper,601,144-39 GRAVETT ROAD,QUEENS,-73.823841,40.737448,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K271,Eagle Academy for Young Men II|Ocean Hill Collegiate Charter School,2,Eagle Academy for Young Men II,1004,1137 HERKIMER STREET,BROOKLYN,-73.915106,40.678124,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K071,Beginning with Children Charter School II|Juan Morel Campos Secondary School,2,Beginning with Children Charter School II,1058,215 HEYWARD STREET,BROOKLYN,-73.953304,40.703996,Juan Morel Campos,240,NYU Langone FHC,Beginning With Children Charter School II|Juan Morel Campos Secondary School,2,"Community School MH, School-based Health Center w/ Mental Health"
R029,P.S. 029 Bardwell,1,P.S. 029 Bardwell,598,1581 VICTORY BOULEVARD,STATEN ISLAND,-74.116197,40.614039,NA,NA,NA,NA,NA,NA
X084,P.S. X811,1,P.S. X811,598,1434 Longfellow Avenue,Bronx,-73.886798,40.830552,NA,NA,NA,NA,NA,NA
X410,Bronx Collegiate Academy|Bronx High School for Medical Science|Bronx High School of Business|Claremont International HS|DreamYard Preparatory School|New Directions Secondary School|The Bronx School for Continuous Learners,7,The Bronx School for Continuous Learners,2565,240 EAST 172 STREET,BRONX,-73.911366,40.839307,William Howard Taft Campus,B100,Montefiore Medical Center,[D79] Lyfe|Bronx Collegiate Academy|Bronx High School For Medical Science|Bronx High School Of Business|Claremont International HS|Dreamyard Preparatory School|New Directions Secondary School|P469X@ M227X,8,"Community School MH, School-based Health Center w/ Mental Health"
M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,1,P.S. 166 The Richard Rodgers School of The Arts and Technology,595,132 WEST 89 STREET,MANHATTAN,-73.972557,40.788925,NA,NA,NA,NA,NA,NA
R023,P.S. 023 Richmondtown,1,P.S. 023 Richmondtown,595,30 NATICK STREET,STATEN ISLAND,-74.133216,40.570765,NA,NA,NA,NA,NA,NA
X030,American Dream Charter School|P.S. 030 Wilton,2,American Dream Charter School,1010,510 EAST 141 STREET,BRONX,-73.917417,40.809023,NA,NA,NA,NA,NA,NA
Q114,P.S./M.S. 114 Belle Harbor,1,P.S./M.S. 114 Belle Harbor,593,134-01 CRONSTON AVENUE,QUEENS,-73.854364,40.577552,NA,NA,NA,NA,NA,School Mental Health Specialist Program
M084,P.S. 084 Lillian Weber,1,P.S. 084 Lillian Weber,592,32 West 92 Street,Manhattan,-73.968419,40.789479,NA,NA,NA,NA,NA,School-based Mental Health Clinic
K127,P.S. 127 McKinley Park,1,P.S. 127 McKinley Park,592,7805 7 Avenue,Brooklyn,-74.018429,40.623687,NA,NA,NA,NA,NA,NA
K192,P.S. 192 - The Magnet School for Math and Science Inquiry,1,P.S. 192 - The Magnet School for Math and Science Inquiry,592,4715 18 AVENUE,BROOKLYN,-73.97954,40.6288,NA,NA,NA,NA,NA,School Mental Health Specialist Program
K212,P.S. 212 Lady Deborah Moody,1,P.S. 212 Lady Deborah Moody,592,87 BAY 49 STREET,BROOKLYN,-73.985368,40.587612,NA,NA,NA,NA,NA,NA
X205,P.S. 205 Fiorello LaGuardia,1,P.S. 205 Fiorello LaGuardia,591,2475 Southern Boulevard,Bronx,-73.881753,40.855759,NA,NA,NA,NA,NA,School-based Mental Health Clinic
XAFM,Bronx Charter School for the Arts,1,Bronx Charter School for the Arts,591,950 LONGFELLOW AVENUE,BRONX,-73.886477,40.821815,NA,NA,NA,NA,NA,NA
X028,P.S. 028 Mount Hope,1,P.S. 028 Mount Hope,589,1861 ANTHONY AVENUE,BRONX,-73.903821,40.848344,PS 028 Mount Hope,bsmt,Montefiore Medical Center,P.S. 028 Mount Hope,1,School-based Health Center w/ Mental Health
K238,P.S. 238 Anne Sullivan,1,P.S. 238 Anne Sullivan,589,1633 EAST 8 STREET,BROOKLYN,-73.964586,40.608801,NA,NA,NA,NA,NA,School Mental Health Specialist Program
